iter	Passed	Remaining
976	22738	535
977	22762	512
978	22784	488
979	22808	465
980	22831	442
981	22855	418
982	22878	395
983	22903	372
984	22928	349
985	22950	325
986	22975	302
987	23001	279
988	23025	256
989	23049	232
990	23073	209
991	23094	186
992	23117	162
993	23142	139
994	23165	116
995	23186	93
996	23210	69
997	23236	46
998	23260	23
999	23284	0
